visitor_id,visit_date,group,device,traffic_channel,session_minutes,pages_viewed,converted,revenue_usd
VIS-00001,2026-05-27,A,Mobile,Paid Search,4.79,4,0,0.0
VIS-00002,2026-05-26,A,Desktop,Organic,5.39,4,0,0.0
VIS-00003,2026-05-25,A,Mobile,Referral,4.78,5,0,0.0
VIS-00004,2026-05-26,A,Desktop,Organic,7.5,3,0,0.0
VIS-00005,2026-05-03,A,Desktop,Email,3.33,3,0,0.0
VIS-00006,2026-05-25,A,Desktop,Organic,2.91,6,1,59.24
VIS-00007,2026-05-29,A,Desktop,Social,1.95,6,0,0.0
VIS-00008,2026-05-08,A,Desktop,Social,2.6,5,0,0.0
VIS-00009,2026-05-06,A,Mobile,Social,0.99,6,0,0.0
VIS-00010,2026-05-03,A,Desktop,Organic,2.05,1,1,46.64
VIS-00011,2026-05-24,A,Desktop,Organic,3.04,6,0,0.0
VIS-00012,2026-05-29,A,Desktop,Referral,1.64,5,0,0.0
VIS-00013,2026-05-19,A,Desktop,Organic,4.05,4,1,78.95
VIS-00014,2026-05-19,A,Desktop,Referral,5.25,2,0,0.0
VIS-00015,2026-05-24,A,Desktop,Organic,7.63,3,0,0.0
VIS-00016,2026-05-01,A,Desktop,Referral,4.89,2,0,0.0
VIS-00017,2026-05-26,A,Desktop,Social,5.21,4,0,0.0
VIS-00018,2026-05-28,A,Tablet,Email,3.97,8,0,0.0
VIS-00019,2026-05-04,A,Mobile,Paid Search,5.06,11,0,0.0
VIS-00020,2026-05-30,A,Mobile,Organic,3.62,4,0,0.0
VIS-00021,2026-05-26,A,Mobile,Organic,1.21,3,1,58.33
VIS-00022,2026-05-09,A,Desktop,Social,6.72,5,0,0.0
VIS-00023,2026-05-15,A,Desktop,Organic,5.96,3,0,0.0
VIS-00024,2026-05-25,A,Mobile,Paid Search,2.65,1,0,0.0
VIS-00025,2026-05-28,A,Mobile,Organic,5.59,1,0,0.0
VIS-00026,2026-05-03,A,Mobile,Email,0.59,7,0,0.0
VIS-00027,2026-05-20,A,Mobile,Social,5.85,3,1,61.48
VIS-00028,2026-05-14,A,Mobile,Organic,1.61,2,0,0.0
VIS-00029,2026-05-11,A,Desktop,Paid Search,2.76,2,0,0.0
VIS-00030,2026-05-25,A,Mobile,Organic,8.26,6,0,0.0
VIS-00031,2026-05-21,A,Desktop,Social,4.71,4,0,0.0
VIS-00032,2026-05-13,A,Mobile,Paid Search,4.32,10,0,0.0
VIS-00033,2026-05-27,A,Mobile,Social,3.81,10,0,0.0
VIS-00034,2026-05-16,A,Desktop,Email,1.24,3,1,54.84
VIS-00035,2026-05-26,A,Mobile,Organic,0.97,4,0,0.0
VIS-00036,2026-05-04,A,Desktop,Social,1.36,2,0,0.0
VIS-00037,2026-05-28,A,Mobile,Paid Search,5.87,5,1,80.94
VIS-00038,2026-05-25,A,Desktop,Paid Search,5.62,3,0,0.0
VIS-00039,2026-05-16,A,Mobile,Organic,3.97,5,0,0.0
VIS-00040,2026-05-15,A,Desktop,Paid Search,3.78,3,0,0.0
VIS-00041,2026-05-10,A,Desktop,Paid Search,1.22,6,0,0.0
VIS-00042,2026-05-08,A,Mobile,Paid Search,1.63,4,0,0.0
VIS-00043,2026-05-09,A,Desktop,Social,10.41,2,0,0.0
VIS-00044,2026-05-24,A,Desktop,Social,5.64,2,0,0.0
VIS-00045,2026-05-12,A,Desktop,Organic,2.7,5,0,0.0
VIS-00046,2026-05-30,A,Mobile,Email,2.68,3,0,0.0
VIS-00047,2026-05-12,A,Desktop,Email,2.51,4,0,0.0
VIS-00048,2026-05-17,A,Desktop,Organic,3.34,1,0,0.0
VIS-00049,2026-05-12,A,Desktop,Referral,4.08,5,0,0.0
VIS-00050,2026-05-23,A,Mobile,Organic,7.16,3,0,0.0
VIS-00051,2026-05-11,A,Mobile,Organic,1.69,4,0,0.0
VIS-00052,2026-05-30,A,Mobile,Referral,2.33,3,0,0.0
VIS-00053,2026-05-20,A,Mobile,Email,1.32,4,0,0.0
VIS-00054,2026-05-01,A,Desktop,Paid Search,2.51,6,1,52.18
VIS-00055,2026-05-29,A,Tablet,Paid Search,2.98,6,0,0.0
VIS-00056,2026-05-18,A,Desktop,Paid Search,3.21,4,0,0.0
VIS-00057,2026-05-21,A,Desktop,Email,2.9,2,0,0.0
VIS-00058,2026-05-30,A,Desktop,Referral,2.97,1,1,60.32
VIS-00059,2026-05-09,A,Desktop,Social,1.68,4,0,0.0
VIS-00060,2026-05-04,A,Mobile,Paid Search,4.35,9,0,0.0
VIS-00061,2026-05-21,A,Desktop,Paid Search,3.82,2,0,0.0
VIS-00062,2026-05-07,A,Desktop,Email,4.79,5,0,0.0
VIS-00063,2026-05-01,A,Desktop,Email,8.14,3,1,37.68
VIS-00064,2026-05-17,A,Desktop,Paid Search,7.26,5,0,0.0
VIS-00065,2026-05-17,A,Mobile,Organic,4.04,3,0,0.0
VIS-00066,2026-05-22,A,Mobile,Paid Search,6.21,9,0,0.0
VIS-00067,2026-05-28,A,Mobile,Referral,2.87,3,1,50.38
VIS-00068,2026-05-17,A,Mobile,Email,4.9,2,0,0.0
VIS-00069,2026-05-08,A,Mobile,Organic,1.62,5,0,0.0
VIS-00070,2026-05-17,A,Desktop,Paid Search,2.52,10,1,64.17
VIS-00071,2026-05-02,A,Desktop,Email,7.17,1,0,0.0
VIS-00072,2026-05-02,A,Mobile,Referral,2.97,4,0,0.0
VIS-00073,2026-05-04,A,Desktop,Organic,1.89,2,1,79.51
VIS-00074,2026-05-23,A,Tablet,Organic,10.64,8,1,68.04
VIS-00075,2026-05-27,A,Desktop,Email,1.87,8,0,0.0
VIS-00076,2026-05-10,A,Mobile,Organic,5.13,7,0,0.0
VIS-00077,2026-05-03,A,Desktop,Social,3.78,3,0,0.0
VIS-00078,2026-05-03,A,Mobile,Paid Search,1.79,8,0,0.0
VIS-00079,2026-05-04,A,Desktop,Paid Search,2.21,1,0,0.0
VIS-00080,2026-05-29,A,Mobile,Organic,6.48,8,0,0.0
VIS-00081,2026-05-05,A,Desktop,Social,5.52,2,0,0.0
VIS-00082,2026-05-20,A,Desktop,Organic,2.97,7,0,0.0
VIS-00083,2026-05-19,A,Mobile,Paid Search,4.37,2,0,0.0
VIS-00084,2026-05-14,A,Desktop,Paid Search,4.42,4,0,0.0
VIS-00085,2026-05-15,A,Desktop,Social,3.25,3,0,0.0
VIS-00086,2026-05-22,A,Desktop,Email,0.99,3,0,0.0
VIS-00087,2026-05-25,A,Mobile,Referral,6.32,7,0,0.0
VIS-00088,2026-05-15,A,Mobile,Organic,1.26,3,1,81.18
VIS-00089,2026-05-20,A,Desktop,Organic,8.01,3,1,68.0
VIS-00090,2026-05-04,A,Tablet,Organic,0.95,3,0,0.0
VIS-00091,2026-05-29,A,Desktop,Organic,0.37,6,0,0.0
VIS-00092,2026-05-19,A,Mobile,Organic,5.02,7,0,0.0
VIS-00093,2026-05-21,A,Desktop,Social,3.18,4,0,0.0
VIS-00094,2026-05-23,A,Mobile,Referral,8.21,3,0,0.0
VIS-00095,2026-05-08,A,Mobile,Social,1.57,4,0,0.0
VIS-00096,2026-05-23,A,Mobile,Organic,6.19,5,0,0.0
VIS-00097,2026-05-30,A,Desktop,Paid Search,5.31,3,0,0.0
VIS-00098,2026-05-17,A,Mobile,Paid Search,2.99,4,0,0.0
VIS-00099,2026-05-10,A,Desktop,Referral,2.27,4,1,59.69
VIS-00100,2026-05-28,A,Desktop,Paid Search,7.22,4,0,0.0
VIS-00101,2026-05-24,A,Desktop,Organic,0.38,2,0,0.0
VIS-00102,2026-05-29,A,Desktop,Organic,8.12,5,0,0.0
VIS-00103,2026-05-22,A,Desktop,Social,5.35,2,1,47.93
VIS-00104,2026-05-27,A,Desktop,Social,6.6,5,0,0.0
VIS-00105,2026-05-24,A,Desktop,Organic,6.38,5,0,0.0
VIS-00106,2026-05-12,A,Tablet,Paid Search,2.6,7,0,0.0
VIS-00107,2026-05-24,A,Mobile,Social,14.42,6,0,0.0
VIS-00108,2026-05-09,A,Desktop,Referral,8.79,5,0,0.0
VIS-00109,2026-05-29,A,Desktop,Paid Search,3.11,1,0,0.0
VIS-00110,2026-05-16,A,Desktop,Paid Search,3.45,3,0,0.0
VIS-00111,2026-05-16,A,Desktop,Organic,1.28,5,0,0.0
VIS-00112,2026-05-20,A,Mobile,Organic,2.71,4,0,0.0
VIS-00113,2026-05-10,A,Mobile,Organic,2.48,6,0,0.0
VIS-00114,2026-05-05,A,Mobile,Paid Search,3.57,6,0,0.0
VIS-00115,2026-05-22,A,Desktop,Referral,0.91,4,0,0.0
VIS-00116,2026-05-17,A,Mobile,Paid Search,8.0,2,0,0.0
VIS-00117,2026-05-22,A,Mobile,Email,5.25,3,0,0.0
VIS-00118,2026-05-14,A,Mobile,Social,3.66,6,0,0.0
VIS-00119,2026-05-14,A,Mobile,Organic,3.17,1,0,0.0
VIS-00120,2026-05-01,A,Mobile,Organic,1.81,3,0,0.0
VIS-00121,2026-05-21,A,Desktop,Organic,2.84,2,0,0.0
VIS-00122,2026-05-13,A,Mobile,Paid Search,4.1,5,0,0.0
VIS-00123,2026-05-03,A,Mobile,Email,1.29,5,0,0.0
VIS-00124,2026-05-12,A,Desktop,Social,2.02,4,0,0.0
VIS-00125,2026-05-02,A,Desktop,Organic,10.48,5,0,0.0
VIS-00126,2026-05-29,A,Mobile,Organic,5.17,5,0,0.0
VIS-00127,2026-05-07,A,Desktop,Social,0.92,1,0,0.0
VIS-00128,2026-05-02,A,Desktop,Referral,3.64,3,0,0.0
VIS-00129,2026-05-23,A,Mobile,Referral,1.94,3,0,0.0
VIS-00130,2026-05-28,A,Mobile,Email,11.78,1,0,0.0
VIS-00131,2026-05-09,A,Desktop,Social,4.25,6,0,0.0
VIS-00132,2026-05-28,A,Mobile,Organic,5.19,3,0,0.0
VIS-00133,2026-05-07,A,Mobile,Organic,5.07,2,0,0.0
VIS-00134,2026-05-18,A,Mobile,Paid Search,0.28,3,0,0.0
VIS-00135,2026-05-21,A,Mobile,Referral,12.87,2,0,0.0
VIS-00136,2026-05-06,A,Mobile,Organic,2.66,7,0,0.0
VIS-00137,2026-05-05,A,Mobile,Social,4.05,6,0,0.0
VIS-00138,2026-05-24,A,Mobile,Paid Search,10.56,3,0,0.0
VIS-00139,2026-05-15,A,Desktop,Paid Search,2.45,4,0,0.0
VIS-00140,2026-05-05,A,Mobile,Referral,10.04,4,0,0.0
VIS-00141,2026-05-25,A,Mobile,Email,2.43,4,0,0.0
VIS-00142,2026-05-10,A,Mobile,Organic,3.74,2,0,0.0
VIS-00143,2026-05-10,A,Mobile,Email,3.31,4,0,0.0
VIS-00144,2026-05-20,A,Desktop,Social,2.88,5,0,0.0
VIS-00145,2026-05-07,A,Mobile,Organic,6.88,2,0,0.0
